ID,Category,Company,date,headline,link,Sentiment,Positive Score,Negative Score,Neutral Score,Mixed Score
22,Social Media,Facebook,20180309,cmo today instagram usage dips facebook watch changes vayner and animal crackers,https://www.wsj.com/articles/cmo-today-instagram-usage-dips-facebook-watch-changes-vayner-and-animal-crackers-1520601015,NEUTRAL,0.008910084,0.333274722,0.657811284,3.92E-06
23,E-commerce,Walmart,20180309,cvs readies 44 billion bond sale,https://www.wsj.com/articles/cvs-readies-44-billion-bond-sale-1520341200,NEUTRAL,0.057275318,0.000766842,0.941949129,8.75E-06
24,Social Media,Snapchat,20180309,confident collectors snap up 1 billion of art in london,https://www.wsj.com/articles/confident-collectors-snap-up-1-billion-of-art-in-london-1520612491,NEUTRAL,0.099814974,0.005122271,0.895056546,6.15E-06
25,Airline,United Airlines Holdings,20180313,united faces ire after dog dies in luggage bin,https://www.wsj.com/articles/united-faces-ire-after-dog-dies-in-luggage-bin-1520986438,NEUTRAL,0.029224372,0.182095513,0.777397573,0.011282593
26,E-commerce,Amazon,20180313,amazon recalls portable battery chargers,https://www.wsj.com/articles/amazon-recalls-portable-battery-chargers-1520970741,NEUTRAL,0.206411153,0.193124041,0.600441396,2.33E-05
27,E-commerce,Walmart,20180313,stockholders approve cvs healths acquisition of aetna,https://www.wsj.com/articles/stockholders-approve-cvs-healths-acquisition-of-aetna-1520961141,NEUTRAL,0.119814485,0.007816356,0.872360229,8.99E-06
28,Airline,United Airlines Holdings,20180314,dogs death on united flight sparks calls for new rules on flying with animals,https://www.wsj.com/articles/dogs-death-on-united-flight-sparks-calls-for-new-rules-on-flying-with-animals-1521049004,NEGATIVE,0.01121782,0.715699613,0.272958547,0.000124076
29,Social Media,Facebook,20180314,facebook will pay publishers to create news video for watch,https://www.wsj.com/articles/facebook-will-pay-publishers-to-create-news-video-for-watch-1521049062,NEUTRAL,0.001788481,0.19476147,0.80342865,2.15E-05
30,Social Media,Snapchat,20180314,asian stocks snap 4 day winning streak,https://www.wsj.com/articles/asian-stocks-snap-4-day-winning-streak-1521015781,NEUTRAL,0.134496316,0.062833011,0.802587211,8.35E-05
31,E-commerce,Walmart,20180314,walmart to offer home delivery of groceries in 100 cities,https://www.wsj.com/articles/walmart-to-offer-home-delivery-of-groceries-in-100-cities-1521000061,NEUTRAL,0.006378531,0.088257521,0.905356526,7.47E-06
32,Airline,United Airlines Holdings,20180315,spacex and united launch alliance split 640 million in pentagon rocket contracts,https://www.wsj.com/articles/spacex-and-united-launch-alliance-split-640-million-in-pentagon-rocket-contracts-1521084306,NEUTRAL,0.002549407,0.002397873,0.995005786,4.70E-05
33,E-commerce,Amazon,20180315,in their push to lure amazon cities face unintended demands,https://www.wsj.com/articles/in-their-push-to-lure-amazon-cities-face-unintended-demands-1521115200,NEGATIVE,0.038756356,0.699143648,0.26208213,1.79E-05
34,Airline,United Airlines Holdings,20180316,united technologies keeps eye on a breakup,https://www.wsj.com/articles/united-technologies-keeps-eye-on-a-breakup-1521229600,NEGATIVE,0.039404735,0.536441028,0.424012691,0.000141569
35,Fast Food,Starbucks,20180316,orin smith helped steer starbucks through era of espresso fueled growth,https://www.wsj.com/articles/orin-smith-helped-steer-starbucks-through-era-of-espresso-fueled-growth-1521208800,NEUTRAL,0.380056381,0.000571985,0.619363844,7.77E-06
36,Social Media,Snapchat,20180316,cmo today doj v at t approaches rihanna slams snap over ad nfl cmo to leave,https://www.wsj.com/articles/cmo-today-doj-v-at-t-approaches-rihanna-slams-snap-over-ad-nfl-cmo-to-leave-1521201194,NEUTRAL,0.012248348,0.125864416,0.860328376,0.001558841
37,Social Media,Facebook,20180317,facebook suspends cambridge analytica for failing to delete user data,https://www.wsj.com/articles/facebook-suspends-cambridge-analytica-for-failing-to-delete-user-data-1521260051,NEGATIVE,0.000425658,0.951735675,0.047836598,1.96E-06
38,Social Media,Snapchat,20180318,snap contends with user outcry new isnt necessarily better,https://www.wsj.com/articles/snap-contends-with-user-outcry-new-isnt-necessarily-better-1521401040,NEGATIVE,0.044174302,0.567776203,0.387908041,0.000141486
39,Social Media,Facebook,20180318,facebook ignites debate over third party access to user data,https://www.wsj.com/articles/facebook-ignites-debate-over-third-party-access-to-user-data-1521414746,NEUTRAL,0.016790152,0.05523609,0.927971482,2.36E-06
40,Social Media,Facebook,20180319,facebook security chief plans to step down,https://www.wsj.com/articles/facebook-security-chief-plans-to-step-down-1521506433,NEGATIVE,0.001701651,0.571281612,0.426323891,0.000692809
41,Social Media,Facebook,20180319,facebook joins the club,https://www.wsj.com/articles/facebook-joins-the-club-1521500287,NEUTRAL,0.020505462,0.000819521,0.97867316,1.91E-06
42,Social Media,Facebook,20180319,why facebook could lose friends in high places,https://www.wsj.com/articles/why-facebook-could-lose-friends-in-high-places-1521485657,NEGATIVE,0.005515796,0.671413183,0.322656035,0.000415008
43,E-commerce,E-Bay,20180319,rate news organizations like the sellers on ebay,https://www.wsj.com/articles/rate-news-organizations-like-the-sellers-on-ebay-1521491523,NEUTRAL,0.002201129,0.019685606,0.97809279,2.05E-05
44,Airline,United Airlines Holdings,20180319,boeing ends objection to united technologies rockwell merger,https://www.wsj.com/articles/boeing-ends-objection-to-united-technologies-rockwell-merger-1521484299,NEUTRAL,0.008662269,0.114915326,0.876347005,7.55E-05
45,Social Media,Facebook,20180319,facebook other tech giants scrutinized by congress over user data,https://www.wsj.com/articles/facebook-other-tech-giants-scrutinized-by-congress-over-user-data-1521479672,NEUTRAL,0.000687526,0.407336324,0.591860294,0.000115808
46,Social Media,Facebook,20180320,u k seeks search warrant for cambridge analytica after facebook data scandal,https://www.wsj.com/articles/u-k-seeks-search-warrant-for-cambridge-analytica-after-facebook-data-scandal-1521545870,NEUTRAL,0.007662531,0.461784989,0.530395627,0.000156811
47,Social Media,Facebook,20180320,eu to press u s over facebook data use,https://www.wsj.com/articles/eu-to-press-u-s-over-facebook-data-use-1521540243,NEUTRAL,0.008113127,0.04359385,0.948280096,1.29E-05
48,E-commerce,Walmart,20180320,cvs to hire former eli lilly cfo to run pharmacy benefit business,https://www.wsj.com/articles/cvs-to-hire-former-eli-lilly-cfo-to-run-pharmacy-benefit-business-1521554539,NEUTRAL,0.024632094,0.000153253,0.975205421,9.24E-06
49,Airline,United Airlines Holdings,20180320,united suspends cargo program for pets,https://www.wsj.com/articles/united-suspends-cargo-program-for-pets-1521550841,NEUTRAL,0.004110607,0.497755587,0.498122901,1.09E-05
50,E-commerce,Amazon,20180320,why crate and barrels ceo isnt worried about amazon,https://www.wsj.com/articles/why-crate-and-barrels-ceo-isnt-worried-about-amazon-1521547200,NEGATIVE,0.016039642,0.880095124,0.103861004,4.18E-06
51,Social Media,Facebook,20180320,cambridge analytica suspends ceo alexander nix amid facebook data uproar,https://www.wsj.com/articles/cambridge-analytica-suspends-ceo-alexander-nix-amid-facebook-data-uproar-1521572446,NEUTRAL,0.00292237,0.084809266,0.912266135,2.31E-06
52,Social Media,Facebook,20180320,ftc probing facebook over data use by cambridge analytica,https://www.wsj.com/articles/ftc-probing-facebook-over-data-use-by-cambridge-analytica-1521561803,NEUTRAL,0.001740542,0.000468551,0.997786641,4.34E-06
53,Social Media,Facebook,20180320,facebook is pummeled by user data blowback,https://www.wsj.com/articles/facebook-is-pummeled-by-user-data-blowback-1521561322,NEGATIVE,0.005547592,0.89308852,0.101347014,1.70E-05
54,E-commerce,Amazon,20180320,cmo today facebooks ongoing data blowback google takes on amazon publicis sets out three year plan,https://www.wsj.com/articles/cmo-today-facebooks-ongoing-data-blowback-google-takes-on-amazon-publicis-sets-out-three-year-plan-1521545637,NEUTRAL,0.003596163,0.209041625,0.787355602,6.54E-06
55,Social Media,Facebook,20180321,how to keep facebook from oversharing your info,https://www.wsj.com/articles/how-to-keep-facebook-from-oversharing-your-info-1521668940,NEUTRAL,0.010820769,0.233306587,0.755845606,2.70E-05
56,Fast Food,Starbucks,20180321,starbucks aims for more mobile orders,https://www.wsj.com/articles/starbucks-aims-for-more-mobile-orders-1521665850,NEUTRAL,0.076512374,0.00244443,0.921028495,1.47E-05
57,Social Media,Facebook,20180321,plunge in facebook stock unleashes near record trading of options,https://www.wsj.com/articles/plunge-in-facebook-stock-unleashes-near-record-trading-of-options-1521654027,NEUTRAL,0.025267452,0.004439095,0.970289648,3.87E-06
58,Social Media,Facebook,20180321,tencent is like facebook but with a different set of worries,https://www.wsj.com/articles/tencent-is-like-facebook-but-with-a-different-set-of-worries-1521636386,MIXED,0.002308784,0.007561357,0.001104244,0.989025652
59,Social Media,Facebook,20180321,cmo today facebook fallout intensifies googles news pledge mrc weighs stricter viewability standards,https://www.wsj.com/articles/cmo-today-facebook-fallout-intensifies-googles-news-pledge-mrc-weighs-stricter-viewability-standards-1521634637,NEUTRAL,0.018604608,0.047795307,0.933597505,2.50E-06
60,Social Media,Facebook,20180322,zuckerberg says facebook probe into apps wont uncover all data abuse,https://www.wsj.com/articles/zuckerberg-says-facebook-probe-into-apps-wont-uncover-all-data-abuse-1521775456,NEUTRAL,0.002524289,0.045402709,0.952059984,1.31E-05
61,E-commerce,Amazon,20180322,whole foods is losing executives under new owner amazon,https://www.wsj.com/articles/whole-foods-is-losing-executives-under-new-owner-amazon-1521711002,NEGATIVE,0.000420864,0.968084157,0.031491797,3.16E-06
62,Social Media,Facebook,20180322,next worry for facebook disenchanted users,https://www.wsj.com/articles/next-worry-for-facebook-disenchanted-users-1521717883,NEGATIVE,0.000558858,0.980384588,0.019052682,3.77E-06
63,Social Media,Facebook,20180323,how to dump facebook or at least put it in the dog house for a while,https://www.wsj.com/articles/how-to-dump-facebook-or-at-least-put-it-in-the-dog-house-for-a-while-1521846110,NEGATIVE,0.005372068,0.763798654,0.230795905,3.34E-05
64,Social Media,Facebook,20180323,facebook scandal what to know about cambridge analytica and your data,https://www.wsj.com/articles/facebook-scandal-what-to-know-about-cambridge-analytica-and-your-data-1521806400,NEUTRAL,0.000477909,0.130997241,0.868492126,3.27E-05
65,Social Media,Facebook,20180323,cmo today facebook latest googles gdpr plans j j creates new creative agency structure,https://www.wsj.com/articles/cmo-today-facebook-latest-googles-gdpr-plans-j-j-creates-new-creative-agency-structure-1521805172,NEUTRAL,0.021700326,0.000185751,0.978110611,3.36E-06
66,Social Media,Facebook,20180323,facebook tries to calm advertisers after cambridge analytica crisis,https://www.wsj.com/articles/facebook-tries-to-calm-advertisers-after-cambridge-analytica-crisis-1521836823,NEGATIVE,0.003153773,0.858002663,0.138831258,1.23E-05
67,Social Media,Facebook,20180325,how could facebook have been so careless,https://www.wsj.com/articles/how-could-facebook-have-been-so-careless-1522005173,NEGATIVE,0.006041201,0.974137962,0.019797286,2.35E-05
68,Social Media,Facebook,20180325,facebook and google face emboldened antagonists big advertisers,https://www.wsj.com/articles/facebook-and-google-face-emboldened-antagonists-big-advertisers-1521998394,NEGATIVE,0.008885255,0.85481596,0.136274591,2.43E-05
69,Social Media,Facebook,20180326,facebook logs text call histories for some android users,https://www.wsj.com/articles/facebook-logs-text-call-histories-for-some-android-users-1522072657,NEUTRAL,0.003010867,0.00080314,0.996169388,1.67E-05
70,E-commerce,Walmart,20180326,lowes ceo robert niblock to retire,https://www.wsj.com/articles/lowes-ceo-robert-niblock-to-retire-1522069529,NEUTRAL,0.046542998,0.236199141,0.717216074,4.18E-05
71,Social Media,Facebook,20180326,why facebook isnt so easily deleted,https://www.wsj.com/articles/why-facebook-isnt-so-easily-deleted-1522056600,NEGATIVE,0.002558678,0.978440881,0.018900314,0.000100083
72,Social Media,Facebook,20180326,attorneys general profoundly concerned over facebook user data,https://www.wsj.com/articles/attorneys-general-profoundly-concerned-over-facebook-user-data-1522090027,NEGATIVE,0.003750459,0.737347662,0.258893311,8.61E-06
73,E-commerce,Amazon,20180327,satellites reveal ancient civilization beneath the amazon rainforest,https://www.wsj.com/articles/satellites-reveal-ancient-civilization-beneath-the-amazon-rainforest-1522162800,NEUTRAL,0.003686533,0.121206515,0.874109507,0.000997465
74,Social Media,Facebook,20180327,cmo today ftc probes facebook meredith reshuffles ad team apple news steps up monetization,https://www.wsj.com/articles/cmo-today-ftc-probes-facebook-meredith-reshuffles-ad-team-apple-news-steps-up-monetization-1522155575,NEUTRAL,0.0020757,0.028707845,0.969213963,2.38E-06
75,Social Media,Facebook,20180328,cooking panda owner is the latest digital publisher to shut down after facebook changes,https://www.wsj.com/articles/cooking-panda-owner-is-the-latest-digital-publisher-to-shut-down-after-facebook-changes-1522277679,NEUTRAL,0.002398924,0.323958427,0.673492908,0.000149754
76,Social Media,Facebook,20180328,is facebook a frankenstein,https://www.wsj.com/articles/is-facebook-a-frankenstein-1522273843,NEUTRAL,0.0542867,0.242549211,0.703143656,2.05E-05
77,Social Media,Facebook,20180328,playboy deactivates its facebook accounts,https://www.wsj.com/articles/playboy-deactivates-its-facebook-accounts-1522235628,NEUTRAL,0.005366128,0.001070749,0.993562222,9.02E-07
78,Social Media,Facebook,20180328,facebook to streamline privacy settings,https://www.wsj.com/articles/facebook-to-streamline-privacy-settings-1522234802,NEUTRAL,0.014106681,0.101657882,0.884218574,1.68E-05
79,Social Media,Facebook,20180328,facebook says its ending use of information from outside data brokers for ad targeting,https://www.wsj.com/articles/facebook-says-its-ending-use-of-information-from-outside-data-brokers-for-ad-targeting-1522278352,NEUTRAL,0.001972075,0.084387936,0.9136343,5.68E-06
80,E-commerce,Walmart,20180329,walmart in early stage acquisition talks with humana,https://www.wsj.com/articles/walmart-in-early-stage-acquisition-talks-with-humana-1522365618,NEUTRAL,0.003094397,0.002487211,0.994405031,1.34E-05
81,E-commerce,Amazon,20180329,trump targets amazon,https://www.wsj.com/articles/trump-targets-amazon-1522364752,NEGATIVE,0.003216673,0.817561686,0.179158673,6.29E-05
82,E-commerce,Amazon,20180329,amazon despite lumps from trump buoys postal service,https://www.wsj.com/articles/amazon-despite-lumps-from-trump-buoys-postal-service-1522344209,NEGATIVE,0.027592389,0.771922112,0.196086213,0.004399294
83,E-commerce,Walmart,20180329,want luxury hotel discounts stock up at costco,https://www.wsj.com/articles/want-luxury-hotel-discounts-stock-up-at-costco-1522344353,NEUTRAL,0.004521013,0.001113997,0.994362116,2.84E-06
84,Social Media,Facebook,20180329,downloading your facebook data heres what to look for,https://www.wsj.com/articles/downloading-your-facebook-data-heres-what-to-look-for-1522341398,NEUTRAL,0.001713306,0.000193728,0.998086572,6.46E-06
85,E-commerce,Amazon,20180329,donald trump slams amazon com,https://www.wsj.com/articles/donald-trump-slams-amazon-com-1522326554,NEUTRAL,0.012176444,0.002539025,0.98527956,4.95E-06
86,E-commerce,Amazon,20180329,trump bezos and the amazon subsidy,https://www.wsj.com/articles/trump-bezos-and-the-amazon-subsidy-1522348260,NEGATIVE,0.001358728,0.946815491,0.051804423,2.14E-05
87,Social Media,Facebook,20180329,cmo today facebook curbs data broker information sharing turner ceo testimony strong roseanne ratings,https://www.wsj.com/articles/cmo-today-facebook-curbs-data-broker-information-sharing-turner-ceo-testimony-strong-roseanne-ratings-1522324435,NEUTRAL,0.023129789,0.000857686,0.976009667,2.74E-06
88,Social Media,Facebook,20180330,facebook memo reveals angst over growth cultures consequences,https://www.wsj.com/articles/facebook-memo-reveals-angst-over-growth-cultures-consequences-1522454861,NEUTRAL,0.034573518,0.135799646,0.829443812,0.000183043
89,E-commerce,Walmart,20180330,walmart founding family faces test in humana acquisition talks,https://www.wsj.com/articles/walmart-founding-family-faces-test-in-humana-acquisition-talks-1522428894,NEUTRAL,0.001970804,0.005849659,0.992175162,4.33E-06
90,E-commerce,Walmart,20180330,healthy skepticism about walmart and humana,https://www.wsj.com/articles/healthy-skepticism-about-walmart-and-humana-1522425204,NEGATIVE,0.041954618,0.721915066,0.236061469,6.89E-05
91,Social Media,Facebook,20180330,why advertisers wont rush to unfriend facebook,https://www.wsj.com/articles/why-advertisers-wont-rush-to-unfriend-facebook-1522413259,NEGATIVE,0.000603321,0.858878255,0.140515789,2.56E-06
92,E-commerce,Walmart,20180330,why would walmart want to buy an insurer the retail squeeze,https://www.wsj.com/articles/why-would-walmart-want-to-buy-an-insurer-the-retail-squeeze-1522412933,NEGATIVE,0.000245321,0.952346623,0.047388155,1.99E-05
93,E-commerce,Walmart,20180330,walmart humana talks put new pressure on remaining players in health care,https://www.wsj.com/articles/walmart-humana-talks-put-new-pressure-on-remaining-players-in-health-care-1522439073,NEGATIVE,0.001096381,0.715981722,0.282816291,0.000105644
94,E-commerce,Amazon,20180331,why a trump led antitrust case against amazon is a long shot,https://www.wsj.com/articles/why-a-trump-led-antitrust-case-against-amazon-is-a-long-shot-1522501200,NEGATIVE,0.0123644,0.891248941,0.09638121,5.50E-06
95,E-commerce,Amazon,20180331,how apple amazon and others are trying to gain on spotify,https://www.wsj.com/articles/how-apple-amazon-and-others-are-trying-to-gain-on-spotify-1522494000,NEUTRAL,0.009569279,0.241508543,0.748909414,1.26E-05
96,Social Media,Facebook,20180401,facebook and its fake news comeuppance,https://www.wsj.com/articles/facebook-and-its-fake-news-comeuppance-1522604723,NEGATIVE,0.000300151,0.98192662,0.017772255,9.93E-07
97,Social Media,Facebook,20180401,silicon valley rivals take shots at facebook,https://www.wsj.com/articles/silicon-valley-rivals-take-shots-at-facebook-1522595763,NEUTRAL,0.021709895,0.00090782,0.977381229,1.07E-06
98,Social Media,Facebook,20180401,facebook data scandal raises another question can there be too much privacy,https://www.wsj.com/articles/facebook-data-scandal-raises-another-question-can-there-be-too-much-privacy-1522584000,NEGATIVE,0.000534664,0.848693669,0.150644511,0.000127078
99,E-commerce,Walmart,20180401,hospitals fear competitive threat from potential walmart humana deal,https://www.wsj.com/articles/hospitals-fear-competitive-threat-from-potential-walmart-humana-deal-1522587600,NEGATIVE,0.000640687,0.800132453,0.19910121,0.000125666
100,E-commerce,Amazon,20180402,trump amazon and the post office,https://www.wsj.com/articles/trump-amazon-and-the-post-office-1522708506,NEUTRAL,0.003790576,0.342555255,0.653612971,4.12E-05
101,Social Media,Facebook,20180402,you werent born in 1910 why people lie to facebook,https://www.wsj.com/articles/you-werent-born-in-1910-why-people-lie-to-facebook-1522682361,NEGATIVE,0.000875025,0.803970516,0.195152745,1.77E-06
102,Social Media,Facebook,20180403,facebook tries to help users assess stories they read in its news feed,https://www.wsj.com/articles/facebook-tries-to-help-users-assess-stories-they-read-in-its-news-feed-1522785961,NEGATIVE,0.000829438,0.862184703,0.136979207,6.60E-06
103,Social Media,Facebook,20180403,start worrying about facebook,https://www.wsj.com/articles/start-worrying-about-facebook-1522790647,NEGATIVE,0.016081063,0.769327283,0.214584678,6.96E-06
104,E-commerce,Amazon,20180403,trump delivers new attack against amazon,https://www.wsj.com/articles/trump-delivers-new-attack-against-amazon-1522775157,NEGATIVE,0.012521046,0.851575673,0.135771573,0.000131693
105,E-commerce,Walmart,20180403,wheres your teen sleeping check chuck e cheese then walmart,https://www.wsj.com/articles/wheres-your-teen-sleeping-check-chuck-e-cheese-then-walmart-1522769632,NEUTRAL,0.003728643,0.212063849,0.784178495,2.91E-05
106,Social Media,Facebook,20180404,the facebook issue is really property rights,https://www.wsj.com/articles/the-facebook-issue-is-really-property-rights-1522872272,NEUTRAL,0.288168043,0.111734636,0.60003829,5.90E-05
107,Social Media,Facebook,20180404,facebook amps up privacy disclosures amid criticism,https://www.wsj.com/articles/facebook-amps-up-privacy-disclosures-amid-criticism-1522857600,NEGATIVE,0.003732228,0.871053278,0.125209615,4.85E-06
108,Airline,Delta Air Lines,20180405,delta says hack on vendor exposed customer credit card data,https://www.wsj.com/articles/delta-says-hack-on-vendor-exposed-customer-credit-card-data-1522965773,NEUTRAL,0.001449701,0.386476964,0.612065256,8.12E-06
109,E-commerce,Walmart,20180405,blackrock plans to block walmart dicks from some funds over guns,https://www.wsj.com/articles/blackrock-plans-to-block-walmart-dicks-from-some-funds-over-guns-1522940521,NEGATIVE,0.004359412,0.614632547,0.380991846,1.63E-05
110,Social Media,Facebook,20180405,some facebook quitters face technical obstacles,https://www.wsj.com/articles/some-facebook-quitters-face-technical-obstacles-1522947553,NEUTRAL,0.001736206,0.426894814,0.571364462,4.47E-06
111,E-commerce,Amazon,20180405,as trump bashes amazon the government increasingly relies on it,https://www.wsj.com/articles/as-trump-bashes-amazon-the-government-increasingly-relies-on-it-1522920600,NEGATIVE,0.003441996,0.823878169,0.172625452,5.44E-05
112,Social Media,Facebook,20180406,consumer groups file ftc complaint against facebook,https://www.wsj.com/articles/consumer-groups-file-ftc-complaint-against-facebook-1523025141,NEGATIVE,0.00077492,0.537689447,0.461531907,3.64E-06
113,Social Media,Facebook,20180406,cmo today facebook apology tour continues irwin gotlieb retires cereals sugary bet,https://www.wsj.com/articles/cmo-today-facebook-apology-tour-continues-irwin-gotlieb-retires-cereals-sugary-bet-1523016527,NEUTRAL,0.010164412,0.200495034,0.78932488,1.56E-05
114,Social Media,Facebook,20180406,facebook to check groups behind issue ads,https://www.wsj.com/articles/facebook-to-check-groups-behind-issue-ads-1523037600,NEGATIVE,0.001919821,0.668780744,0.329280943,1.84E-05
115,E-commerce,Amazon,20180406,trumps criticism of amazon its personal,https://www.wsj.com/articles/trumps-criticism-of-amazon-its-personal-1523007001,NEGATIVE,0.001186614,0.898334682,0.10044039,3.83E-05
116,E-commerce,Amazon,20180406,hey alexa can you help amazon get into the payments business,https://www.wsj.com/articles/hey-alexa-can-you-help-amazon-get-into-the-payments-business-1523007000,POSITIVE,0.483998179,0.189255446,0.326734155,1.23E-05
117,Social Media,Facebook,20180408,entrepreneur gary vaynerchuk bet right on facebook wrong on blackjet,https://www.wsj.com/articles/entrepreneur-gary-vaynerchuk-bet-right-on-facebook-wrong-on-blackjet-1523239560,NEUTRAL,0.025730221,0.289850295,0.684412122,7.34E-06
118,Social Media,Facebook,20180408,a better way to make facebook pay,https://www.wsj.com/articles/a-better-way-to-make-facebook-pay-1523209483,NEGATIVE,0.138320193,0.819192171,0.042473733,1.39E-05
119,E-commerce,Amazon,20180408,apple amazon and google also are bracing for privacy regulations,https://www.wsj.com/articles/apple-amazon-and-google-also-are-bracing-for-privacy-regulations-1523188801,NEGATIVE,0.036665417,0.697133362,0.266125321,7.59E-05
120,Social Media,Facebook,20180409,the gop needs a free facebook,https://www.wsj.com/articles/the-gop-needs-a-free-facebook-1523315383,NEGATIVE,0.020451263,0.737510204,0.241698727,0.000339823
121,Social Media,Facebook,20180409,data mishandled heres how facebook will notify you,https://www.wsj.com/articles/data-mishandled-heres-how-facebook-will-notify-you-1523317208,NEGATIVE,0.000636585,0.701669991,0.297655672,3.78E-05
122,Social Media,Facebook,20180409,ahead of mark zuckerberg testimony facebook already has made changes,https://www.wsj.com/articles/ahead-of-mark-zuckerberg-testimony-facebook-already-has-made-changes-1523305473,NEUTRAL,0.08272887,0.03233118,0.884926558,1.34E-05
